epoch,train_loss,train_accuracy,train_balanced_accuracy,val_loss,val_accuracy,val_balanced_accuracy
1,0.5045574931639165,0.7554089709762533,0.5888150334358215,0.28405886221334825,0.880675818373812,0.8524196147918701
2,0.2653714151369865,0.8894459102902375,0.8655820488929749,0.3255732079934419,0.8500527983104541,0.8807536363601685
3,0.22860628026574456,0.908179419525066,0.8871169090270996,0.22832182317248367,0.9017951425554382,0.8829572200775146
4,0.18617134138666547,0.9303430079155672,0.9127379655838013,0.19427140492949843,0.9165786694825766,0.888749361038208
5,0.17984709990527825,0.929287598944591,0.9162390232086182,0.19458414343556482,0.9303062302006336,0.9039687514305115
6,0.13995518873109036,0.9472295514511874,0.9358097314834595,0.14987436361776107,0.9398099260823654,0.9343112707138062
7,0.1276179059415977,0.9490765171503958,0.9385097026824951,0.14361359666808732,0.9450897571277719,0.9357346296310425
8,0.11911628836849435,0.9564643799472295,0.946485161781311,0.19578491332286765,0.9186906019007391,0.9365231990814209
9,0.1131663160619761,0.9614775725593667,0.9544997215270996,0.12528103306779387,0.9482576557550159,0.9469780921936035
10,0.11233969000131284,0.9575197889182058,0.95032799243927,0.16512166996267177,0.941921858500528,0.9154567718505859
11,0.10580884640481038,0.9609498680738786,0.9513071775436401,0.12770196819853002,0.9514255543822597,0.9514458179473877
12,0.09595156985096692,0.9662269129287598,0.9609180688858032,0.13103577836860195,0.9472016895459345,0.9507589340209961
13,0.08437081377628926,0.970712401055409,0.9651751518249512,0.12348339945833182,0.9503695881731784,0.9428043961524963
14,0.08237766285370396,0.9696569920844327,0.9644392728805542,0.10548906941694594,0.9577613516367476,0.9536055326461792
15,0.08108531190647614,0.970712401055409,0.9651751518249512,0.12897597084956788,0.9472016895459345,0.9485003352165222
16,0.07272548575082052,0.9736147757255936,0.9674811363220215,0.11464634744220324,0.9588173178458289,0.9520832896232605
17,0.07611543184691809,0.9720316622691293,0.9658125042915344,0.1337286292436634,0.9408658922914467,0.9452113509178162
18,0.07762483661517619,0.9709762532981531,0.9659240245819092,0.11697918902040157,0.9545934530095037,0.9604307413101196
19,0.06361604678815619,0.9759894459102902,0.9716789126396179,0.11970087734012694,0.9598732840549102,0.9618539810180664
20,0.05977339489596815,0.9767810026385224,0.9733606576919556,0.10597913310230722,0.9598732840549102,0.9607247114181519
21,0.064799578710383,0.9759894459102902,0.9725263118743896,0.10379911472562625,0.9619852164730729,0.9565510153770447
22,0.04808497349178728,0.9817941952506596,0.9782681465148926,0.1322988089500536,0.955649419218585,0.9622963666915894
23,0.05635634185181129,0.9794195250659631,0.9766125679016113,0.1489873942471608,0.9503695881731784,0.9597437977790833
24,0.0471707521551989,0.9828496042216359,0.9804162979125977,0.10944425675392529,0.9598732840549102,0.953948974609375
25,0.042850674161967625,0.9844327176781003,0.9809551239013672,0.12026821945448737,0.9588173178458289,0.9633762240409851
26,0.05618168636370145,0.978891820580475,0.9745498299598694,0.10226956041335053,0.9630411826821542,0.9640631675720215
27,0.04938848944759306,0.9802110817941952,0.9780117869377136,0.09914868243258454,0.9651531151003168,0.9531136751174927
28,0.046950137921876835,0.9846965699208443,0.9805741310119629,0.09565324600591249,0.9662090813093981,0.9561086297035217
29,0.04384615489104787,0.9823218997361478,0.9794834852218628,0.10336363032350067,0.9609292502639916,0.9625903964042664
30,0.0423165516598558,0.983377308707124,0.9810667037963867,0.09929913684033416,0.9588173178458289,0.9520832896232605
